,type,category,review,star
1,에어팟3세대,별점,"안드로이드에서도(노트20U) 빠릿하게 잘 동작하네요
벵올사용하다가 에어팟3 사용해보니
선명한고음이 좀 딸리고 대신 저음이 웅장하게 잘 들립니다(지니뮤직기준)
저음이 좀더 필요하면 에어팟도 좋을것 같습니다.
그리고 공간음향을 추적모드로 사용해보니
라이터를 본 원시인마냥 한참동안 감동 받았네요
녹음잘된곡을 들어보면 보이스와 연주의 소리가 거리를 두고 나오고 있다를 느꼈네요.
보이스가 앞쪽에 있고 연주가 더 뒤쪽에 있다는 느낌요

평균보다 작은 귀라서 크게에 대한 걱정이 좀 있었는데
오른쪽은 적당한데 왼쪽이 살짝 큰느낌이고
제가 짝귀인것이죠
남자치고 살짝작은귀 까지는 커버 되는것 같습니다
완전 딱 맞거나 살짝 에어팟이 크다고 느끼는 분들은
장시간 착용시 귀통증 있을수 있습니다
귀통증 없을만한 분들을 예상해보면
귀가 튼튼하신분들이거나 딱맞음보다 더 넉넉하게 끼워지시는분들일것 같네요

소리누출로 인해 갤럭시폰 기준로 딱 반에서 한칸만 더 높게 설정한 볼륨크기가 한계 입니다.
사무실에서 그정도까지가 맥스라 판단되네요
그 위로 올리면 옆사람이 뭔노래를 듣는지 파악되고
신경이쓰일만한 소음으로 느껴질것 같아요

에어팟은 귓속으로 들어가는게 아니다보니
장시간사용시 통증없고 배터리타임도 길고
충분히 매리트가 있습니다",평점5
2,에어팟3세대,별점,"저는 앱등이 입니다
맥, 아이폰, 애플워치, 아이패드, 애플펜슬 그 중 가장 늦게 산 것이
에어팟이었습니다

집에서 레코딩을 많이 하다보니 모니터링 헤드셋을 자주 사용하기에 블루투스 이어폰의 필요성을 그리 느끼지 못했고
애플 제품 중 가장 저렴한 제품인데도 가장 비싸게 느껴지는 제품이라고 생각했었어요

지금은 아이폰만 쓰신다고 하더라도 고민 말고 구매하시라고 말씀드리고 싶네요

일단 에어팟을 끼고 핸드폰을 쳐다보면 자동으로 핸드폰과 연결,
아이패드를 쳐다보면 아이패드와 연결
다 끄고 컴터(맥)를 하면 컴터랑 자동 연결이 됩니다
정말 신기하기도 하고요

제가 진짜 놀란 건 이걸 끼고 런닝맨을 보는데 오디오에서 공간감이 제대로 느껴져서 놀랐습니다
피디가 제 옆에서 얘기하는 줄 알았어요

장시간 헤드셋을 끼고 있어서 귀가 아파, 고무로 꽉 끼는 프로대신 3세대를 구매한건데 정말 잘했다고 생각이 들고요
콩나물 대가리같던 전세대와는 차원이 달라요
정말 편리합니다..ㅠ

유튜브에서 에어팟 후기만 쳐다본지 3개월
왜 그리 등신같이 고민 하느라 시간을 허비했는지 모르겠습니다
영원히 살 것도 아닌데 원하는 것을 사면 그만인 것을
가성비가 어떻고 음질이 어떻고 배터리가 어쩌고...

앱등이면 고민하지 마세요
그냥 사세요",평점5
3,에어팟3세대,별점,가격 때문에 2세대로 갈려다가 3세대 공간음향 리뷰가 좋아 이이폰 13 프로 맥스로 바꾼김에 질렀네요 ^^에어팟은 처음 써보는데 열고 귀에 꽂자마자 바로 애플뮤직 6개월 무료 창이 뜨고 헐~ pwd 입력하니 쉽게 가입이 되네요. 같은 회사 제품이라 플러그앤플레이 짱이고 노레 저장해서 듣기만 하다가 검색창 애플 뮤직에 들어가 보니 3세대에 맞는 공간음향 음악들 줄줄이 나오는데 들어보니 제 막귀도 알 수 있을만큼 신세계 음향(?)들이 줄줄이 들립니다.또 하나 장점이 저장된 음악도 아이폰 오른쪽 위에서 드래그 해보면 에어팟 조절창이 뜨는데 길게 누르면 스테레오와 공간음향 선택할 수 있어 공간음향 선택하면 음질이 달라지고 얼굴 움직임에 따라 음향이 움직여 다닙니다. 이것도 짱이네요~~비싼값을 한다고 생각하는 이어폰입니다.이제 운동 및 산책하는 것이 즐겁습니다. ^^다만 3세대 콩나물이 짧아 귀에 잘 꽂지 않으면 빠질 우려가 있으니 잘 확인해야되네여~~20W 애플 정품충전기에 꽂으면 완충도 금방이네요.암튼 음질과 디자인 흠잡힐 것 없고 가격만 좀 내려가면 유저들 많을 것 같아요~~.,평점5
4,에어팟3세대,별점,"단도직입적으로 결론을 말하자면, ""에어팟 2세대 유선을 사용했던 본인으로서는 굉장히 만족스러운 구입이었다""라고 말씀드리고 싶습니다.
우선 제품이 오자마자 아이폰에 연결한뒤 노래를 들어본뒤에 바로 생각난 한가지는 ""어 2세대에 비해 변한게 없는거 같다 괜히 돈 버렸나..""라고 생각한뒤에 2세대를 꺼내 들어본뒤에는 확실히 막귀인 제 귀에도 그 차이가 확연히 느껴지더라구요
""훨씬 음질이 깨끗해지고 다른 리뷰에서 보았듯이 베이스 부분이 더 보안이 된 느낌이라 와 이거 진짜 깔끔하다 무선이어폰에서 이정도 음질을 뽑아 낼수 있을까""라고 결론짓게 되었습니다.

1. 가격대가 사실 예상보다는 비싼편에 속하여 출시가 되었지만 지금 현재 카드 청구할인과 다른 오픈마켓에서 해당하는 카드할인 ,자체이벤트 할인을 사용하면 20만원대 초반에 구입할수 있다는 점(다만 이 가격도 시간이 지나면 10 후반대로 갈수 있는 가능성이 있겠지만 필자는 카드할인받고 엘포인트 이벤트 혜택으로 5000원까지 받아서 나름 만족함.)

2. 확실히 1,2세대의 에어팟을 사용했던 유저로서는 체감이 확 들정도로 음질이 깨끗해졌으며 본인이 느끼기에는 2세대의 에어팟에서 뭉개져서 들리는 베이스가 마치 소X의 헤드폰에서 듣는 듣한 느낌에 가까운 음질이라 해야할까 하여튼 소리가 깔끔해졌다 개인적으론 2세대 에어팟의 소리도 만족스러웠지만 음질면에서는 업그레이드가 많이 된듯.

3. 사실 필자의 귀구멍이 작고 그 귓바퀴 안의 공간이 큰편이어서 2세대를 꼈을때 살짝의 헐렁함 때문에 음질차이가 심한편이었는데 생각보다 3세대는 착용감이 확실히 더 편해지고 헤드가 더 커져서 그런지 2세대에 비해 헤드가 큰편인데도 불구하고 음향이 더 확실히 들려서 그런지 몰라도 답답함이 별로 안느껴짐.

혹시 구매하실려는 분들중에 지금이라도 얼릉 살 가치가 있냐 물어보신다면 에어팟프로를 가지고 있지 않으신분들께는 강력하게 추천드리고 저처럼 커널형을 못끼시는 분들께는 최선의 제품이지 않나 생각듭니다.

시간이 더 흘러 전자제품의 특성상 가격대가 많이 내려가겠지만 저는 이정도의 할인을 받고 지금 현재부터 사용하는 이점에 더 강점을 두어 후회없는 선택을 한거 같습니다.
부디 저의 글이 여러분의 구입에 도움이 되었길 바라며 이만 마치겠습니다.

마직막으로 X ambassadors-hey child로 청음해보시길 추천드립니다. (오랜만에 전자제품에 반했네요.)",평점5
5,에어팟3세대,별점,"월요일에 결제하고 목요일인가, 금요일에 배송 받았어요! 5% 쿠폰 받고 사서 다른 사이트보다 훨씬 저렴하게 구매했고 만족도가 큽니다!

기존에 에어팟1을 사용했는데, 음질도 좋아지고 배터리도 확실히 좋아졌어요. 이전 제품을 오래 사용했던지라 배터리가 한시간 이내로 끊겼는데, 에어팟3는 한참 듣다가도 배터리 확인해보면 90% 이래서 매우 만족 중입니다!

다만, 길쭉했던 콩나물이 짧아져서 . 뭔가 케이스에서 뺄 때 계속 떨어뜨릴 것 같은 기분(?) 들어서 조심조심하게 되더라구요.
또 살짝 동글동글하게 모양이 바뀌었는데, 귀가 작은 저는 조금 귀가 아픈 느낌도 없지 않지만 에어팟1이나 에어팟2가 잘 빠져서 불편하셨던 분들은 오히려 좋아하시지 않을까 합니다.

그리고 노이즈 캔슬링 기능이 없다보니 기존에 노이즈 캔슬링 기능을 사용하셨던 유저들은 조금 이 확실히 있을 것 같아요.
저 같은 경우에는 막귀에다가 있으면 있는대로 쓰는 성격이라, 별 타격도 없었고 쓰는 중입니다!",평점5
6,에어팟3세대,별점,"중학교 졸업하고 고등학교 입학예정인 딸아이 선물로 구입했어요
아이폰과 아이패드의 유저로 에어팟3를 너무 가지고 싶어했지만 고가의 제품이라 외면하고 저렴한 블루투스 이어폰을 사주었는데, 사용하던것이 파손되어 에어팟을 둘러보던중 SSG몰에서 쿠폰에 카드할인까지 진행하는걸 보고 바로 구매해 버렸어요 와우^^
휴일에 구매했는데 바로 다음날 접수되어 바로 송장정보 받고 배송도 빠르게 진행되어 딸이 너무 좋아했어요
두근두근 언박싱하고 신기하게 이어 한쪽을 빼자마자 아이폰이 인식하고 블루투스 페어링이 되더라구요
그것도 3D이미지까지 뜨면서요
딸과 한쪽씩 나눠끼고 첫곡을 감상하다 또 신기한 경험을 했어요
한사람이 이어를 빼니 음악이 멈추더라구요
그리고 양쪽을 끼고 고개를 좌 우로 꺽으니 꺽은쪽은 소리가 정지 하기도 하고 뭔가 인공지능 센서같은 기분이랄까.. ㅎ 나이든 아줌마는 그저 신기하더라구요 ㅎ
저도 기쁘고 화답해주니
선물한 맛이 납니다 ㅎ
좋은 제품 할인 팍팍 진행해주신 신세계 감사해욧",평점5
7,에어팟3세대,별점,제 세번째 에어팟입니다..🤪테크 유튜버 아니구요. 얼리어답터도 아니고 그저 물건 관리 못 하는 똥멍청이입니다. 1세대 - 프로를 거쳐 3세대로 왔네요. 다운그레이드 한 거 만족스럽습니다. 귓구멍이 작아서 3시간 넘어가면 귀가 아파서 헤드셋으로 갈아낍니다. 프로는 커널형이라 캔슬링도 좋고 다 좋은데 외이도염이 생기더라구요..저도 몰랐던 지병이..사이즈는 프로보다 작아요. 심심하면 공간 웅앵웅 켜서 고개를 돌리면 한 28초 정도 안 심심해요. 프로를 너무 험하게 써서 콩나물 없는 껍데기 5만원에 팔아서 이번에는 신줏단지처럼 모시려고 오자마자 케이스랑 스티커 붙였어요. 한동안 에어팟없이 헤드폰만 쓰다가 에어팟 쓰니까 확실히 연동되는 게 아이폰 패드 왔다갔다가 빠릿빠릿해서 좋네여.,평점5
8,에어팟3세대,별점,"배송도 이틀만에 빠르게 오고 포장도 뽁뽁이로 꼼꼼히 되어있어서 너무 만족스러웠어요. ^^

저는 프로이어팁(커널형)은 귀에 잘 맞지 않아서 에어팟 3세대(오픈형)로 넘어왔는데 너무 편안하고 좋습니다. 진작에 구매할 걸 그랬어요. 음질은 공간음향도 추가되어서 더욱 좋아졌네요. 또 제가 운동을 좋아하는데 격한 운동할 때도 전혀 빠지지 않습니다. 안정감있어요. 부모님이 갤럭시휴대폰을 쓰시는데 갤럭시폰이랑도 연결해보니 잘 되더라구요. 버즈는 끼기 불편하시다고 하셔서 부모님도 사드리려고 합니다.

네이버 애플 공식 스마트스토어에서 사니까 가장 중요한 !정품!이 확실히 보장되고 할인도 꽤 되고 . 다음에 가족,지인 선물로 구매할때 자주 애용해야겠어요~^^",평점5
9,에어팟3세대,별점,"에어팟 프로랑 3세대 중 고민했는데
3세대 하길 너무너무 잘했다는 생각이 듭니당!
공간음향? 이거 레알 좋네여ㅜㅜ 그전에는 에어팟1을 5년 정도 썼거든요
이제는 바꿀 때가 되었다싶던 차에 마침 오픈형 이어폰인 에어팟3가 출시 된 지 얼마 안됐더라고용
1.에어팟 프로 노이즈 캔슬링되서 좋다고들 해서 고민했는데 저는 노이즈 캔슬링 되면 오히려 주변 소리가 안들려서 불안? 하다 그래야하나 답답하다 그래야하나
2. 에어팟 프로의 커널형이 너무 답답하더라구요ㅠ
귀가 작은 편인 있어용
결론. 음악보다는 유튜브나 예능 보는 시간이 훨씬 길 경우= 노이즈 캔슬링 굳이 필요없을 것 같아요
음악들을 때도 공간음향 이거면 레알 충분하다고 느낍니다
그리고 에어팟 사용 시간이 기신 분들도 커널형보다는 오픈형이 배터리 측면에서도 그렇고 사용감에서도 편하실거라 생각합니당
있는 후기 였습니당
에어팟 3 강추",평점5
10,에어팟3세대,별점,"역시 Apple이 Apple 했네! 애타게 기다리고 기다렸던 AirPods 3세대. 커널형인 AirPods Pro 도 사용해 봤지만 그에 못지 않은 밀착감이 느껴진다. 커널형 무선 이어폰을 사용하면서 불편함을 느꼈던 유저들에겐 더없이 반가운 제품이라 할 수 있겠다. Air Pods 1, 2세대를 착용했을 때와는 완전 다른 안정감도 있으니 행여라도 잃어버릴까 하는 걱정은 없을 듯 하다. 물론 더없이 훌륭한 AirPods Pro 의 음질까지는 따라갈 수 없으나 AirPods 1,2세대 보다는 훨씬 더 편안하고 깊이있게 음악 속으로 빠져들기엔 충분하다고 생각한다. 무선으로도 유선으로도 충전이 가능한데 특히 Mac safe 충전도 할 수 있어서 편리하다. 게다가 출시 되자마자 빠르게 배송도 되어서 주말 내내 좋아하는 곡들을 맘껏 즐길 수 있겠다. 매번 새로이 업그레이드 되어서 출시되는 제품들을 꼭 구입하는 진정한 Apple User로서 이번에 구입한 AirPods 세대는 길고 길었던 기다림 만큼이나 더 큰 만족과 기낀다.",평점5
