,Unnamed: 0,type,category,review,star,token_review
0,1,에어팟3세대,별점,"안드로이드에서도(노트20U) 빠릿하게 잘 동작하네요
벵올사용하다가 에어팟3 사용해보니
선명한고음이 좀 딸리고 대신 저음이 웅장하게 잘 들립니다(지니뮤직기준)
저음이 좀더 필요하면 에어팟도 좋을것 같습니다.
그리고 공간음향을 추적모드로 사용해보니
라이터를 본 원시인마냥 한참동안 감동 받았네요
녹음잘된곡을 들어보면 보이스와 연주의 소리가 거리를 두고 나오고 있다를 느꼈네요.
보이스가 앞쪽에 있고 연주가 더 뒤쪽에 있다는 느낌요

평균보다 작은 귀라서 크게에 대한 걱정이 좀 있었는데
오른쪽은 적당한데 왼쪽이 살짝 큰느낌이고
제가 짝귀인것이죠
남자치고 살짝작은귀 까지는 커버 되는것 같습니다
완전 딱 맞거나 살짝 에어팟이 크다고 느끼는 분들은
장시간 착용시 귀통증 있을수 있습니다
귀통증 없을만한 분들을 예상해보면
귀가 튼튼하신분들이거나 딱맞음보다 더 넉넉하게 끼워지시는분들일것 같네요

소리누출로 인해 갤럭시폰 기준로 딱 반에서 한칸만 더 높게 설정한 볼륨크기가 한계 입니다.
사무실에서 그정도까지가 맥스라 판단되네요
그 위로 올리면 옆사람이 뭔노래를 듣는지 파악되고
신경이쓰일만한 소음으로 느껴질것 같아요

에어팟은 귓속으로 들어가는게 아니다보니
장시간사용시 통증없고 배터리타임도 길고
충분히 매리트가 있습니다",5,"['안드로이드', '에서도', '노트', '20', 'U', '빠릿', '하게', '잘', '동작', '하네요', '\r\n', '벵', '올', '사용', '하', '다가', '에어팟', '3', '사용', '해보니', '\r\n', '선명한', '고음', '이', '좀', '딸리고', '대신', '저음', '이', '웅장', '하게', '잘', '들립니', '다지니', '뮤직', '기준', '\r\n', '저음', '이', '좀더', '필요하면', '에어팟', '도', '좋을것', '같습니다', '\r\n', '그리고', '공간', '음향', '을', '추적', '모드', '로', '사용', '해보니', '\r\n', '라이터', '를', '본', '원시인', '마냥', '한참', '동안', '감동', '받았네요', '\r\n', '녹음', '잘', '된', '곡', '을', '들어', '보면', '보이스', '와', '연주', '의', '소리', '가', '거리', '를', '두고', '나오고', '있다를', '느꼈네요', '\r\n', '보이스', '가', '앞쪽', '에', '있고', '연주가', '더', '뒤쪽', '에', '있다는', '느낌', '요', '\r\n\r\n', '평균', '보다', '작은', '귀', '라서', '크게', '에', '대한', '걱정', '이', '좀', '있었는데', '\r\n', '오른쪽', '은', '적당한데', '왼쪽', '이', '살짝', '큰', '느낌', '이고', '\r\n', '제', '가', '짝', '귀인', '것', '이', '죠', '\r\n', '남자', '치고', '살짝', '작은', '귀', '까지는', '커버', '되는것', '같습니다', '\r\n', '완전', '딱', '맞거나', '살짝', '에어팟', '이', '크다고', '느끼는', '분', '들', '은', '\r\n', '장시간', '착용', '시', '귀', '통증', '있을수', '있습니다', '\r\n', '귀', '통증', '없을만한', '분', '들', '을', '예상', '해보면', '\r\n', '귀가', '튼튼하', '신분', '들이거나', '딱', '맞', '음보', '다', '더', '넉넉하게', '끼워지시는', '분', '들일것', '같네요', '\r\n\r\n', '소리', '누', '출로', '인해', '갤럭시', '폰', '기준', '로', '딱', '반', '에서', '한', '칸', '만', '더', '높게', '설정', '한', '볼륨', '크기', '가', '한계', '입니다', '\r\n', '사무실', '에서', '그', '정도', '까지가', '맥스', '라', '판단', '되네요', '\r\n', '그', '위로', '올리면', '옆', '사람', '이', '뭔', '노래', '를', '듣는지', '파악', '되고', '\r\n', '신경', '이', '쓰일만', '한', '소음', '으로', '느껴질것', '같아요', '\r\n\r\n', '에어팟', '은', '귓속', '으로', '들어가는게', '아니다', '보니', '\r\n', '장시간', '사용', '시', '통증', '없고', '배터리', '타임', '도', '길고', '\r\n', '충분히', '매', '리트', '가', '있습니다']"
1294,1295,에어팟3세대,별점,"빠른배송 안전포장 너무좋아요^^
인터넷으로 착한가격에 구매했습니다",5,"['빠른', '배송', '안전', '포장', '너무', '좋아요', '\r\n', '인터넷', '으로', '착한', '가격', '에', '구매', '했습니다']"
1305,1306,에어팟3세대,별점,배송 빠르게잘 받았어요 1세대 쓰다가 3세대 쓰니 살짝 달라서 사용방법이 어색하지만 잘 쓰겠습니다,5,"['배송', '빠르게', '잘', '받았어요', '1', '세대', '쓰다가', '3', '세대', '쓰니', '살짝', '달라', '서', '사용', '방법', '이', '어색하지만', '잘', '쓰겠습니다']"
1304,1305,에어팟3세대,별점,에어팟 이마트생일쿠폰 써서 저렴히 잘 구입했습니다.프로도 있는데 귀에 잘맞고 안빠져 3세대를 더 착용하게되어 프로는 아들줬습니다.,5,"['에어팟', '이마트', '생일', '쿠폰', '써서', '저렴히', '잘', '구입', '했습니다', '프로도', '있는데', '귀', '에', '잘맞고', '안', '빠져', '3', '세대', '를', '더', '착용', '하게', '되어', '프로', '는', '아들', '줬습니다']"
1303,1304,에어팟3세대,별점,달라진 건 크게 못느끼지만 귀가 너무 편해요. 프로 쓰다 넘어왔더니 확실히 음질은 프로가 좋긴 하네요.,5,"['달라진', '건', '크게', '못', '느끼지만', '귀가', '너무', '편해요', '프로', '쓰다', '넘어왔더니', '확실히', '음질', '은', '프로', '가', '좋긴', '하네요']"
1302,1303,에어팟3세대,별점,에어팟1 사용중이였는데… 자꾸 끊기고 한쪽만 들려서 연말에 에어팟3세대 질렀어요! 배송 진짜 빠르고 만족해용!,5,"['에어팟', '1', '사용', '중', '이', '였는데', '자꾸', '끊기고', '한쪽', '만', '들려서', '연말', '에', '에어팟', '3', '세대', '질렀어요', '배송', '진짜', '빠르고', '만족해용']"
1301,1302,에어팟3세대,별점,공간음향 정말 신세게네요! 커널형도 아니라서 귀에 부담도 덜 될구요,5,"['공간', '음향', '정말', '신세', '게', '네', '요', '커널', '형', '도', '아니라서', '귀', '에', '부담', '도', '덜', '될구요']"
1300,1301,에어팟3세대,별점,에어팟 프로의 노이즈 캔슬링에 적응 못해 바꿨습니다..너무 좋네요~^^,5,"['에어팟', '프로', '의', '노이즈', '캔', '슬링', '에', '적응', '못', '해', '바꿨습니다', '너무', '좋네요']"
1299,1300,에어팟3세대,별점,"오픈이어폰 답게 귀아프거나 먹먹하지 않아 좋네요.
사운드? 좋습니다.",5,"['오픈', '이어폰', '답', '게', '귀', '아프거나', '먹', '먹하지', '않아', '좋네요', '\r\n', '사운드', '좋습니다']"
1298,1299,에어팟3세대,별점,유튜브 많이 찾아보고 구매했습니다. 역시 사운드가 훨씬 좋아졌어요!,5,"['유튜브', '많이', '찾아보고', '구매', '했습니다', '역시', '사운드', '가', '훨씬', '좋아졌어요']"
1297,1298,에어팟3세대,별점,기존 쓰던 중국제품에 비해 확연히 음질차이를 느낄수 있어 좋습니다.,5,"['기존', '쓰던', '중국', '제품', '에', '비해', '확', '연히', '음질', '차이', '를', '느낄수', '있어', '좋습니다']"
1296,1297,에어팟3세대,별점,배송도 빠르고 포장을 꼼꼼히 해주셔서 안전하게 온 거 같아서 좋아요,5,"['배송', '도', '빠르고', '포장', '을', '꼼꼼히', '해주셔서', '안전하게', '온', '거', '같아서', '좋아요']"
1295,1296,에어팟3세대,별점,프로보다 음질이 났다고해서 카드할인받고 저렴한가격에 구입했네요,5,"['프로', '보다', '음질', '이', '났다고', '해서', '카드', '할인', '받고', '저렴한', '가격', '에', '구입', '했네요']"
1293,1294,에어팟3세대,별점,음질은 말해 머합니까 . .콩나물을즐깁니다 ㅎ배송도빠르고 잘쓸게요,5,"['음질', '은', '말', '해', '머합', '니까', '콩나물', '을', '즐깁니다', '배송', '도', '빠르고', '잘쓸게요']"
1307,1308,에어팟3세대,별점,배터리 시간도 길고 근데 머리부분이 좀 커서 1보단 잘 빠지긴해요 만질경우..? 하지만 장점이 커버해요,5,"['배터리', '시간', '도', '길고', '근데', '머리', '부분', '이', '좀', '커서', '1', '보단', '잘', '빠지긴', '해', '요', '만질', '경우', '하지만', '장점', '이', '커버', '해요']"
1292,1293,에어팟3세대,별점,"만족해요 소리도 잘들리네요
배송도 빨랐고 크기도 앙증맞게 이쁩니다",5,"['만족해요', '소리', '도', '잘', '들리네요', '\r\n', '배송', '도', '빨랐고', '크기', '도', '앙증맞게', '이쁩니다']"
1291,1292,에어팟3세대,별점,배송빼고는 다 맘에 듭니다~CJ라 그런지...대전HUB에서 하루반을 있네요,5,"['배송', '빼고는', '다', '맘', '에', '듭니', '다', 'CJ', '라', '그런', '지', '대전', 'HUB', '에서', '하루', '반', '을', '있네요']"
1290,1291,에어팟3세대,별점,선물용이라 아직 불량품인지는 몰라요ㅜ 발송은 빨랐어요 감사합니다,5,"['선물', '용이', '라', '아직', '불량품', '인', '지는', '몰라요', '발송', '은', '빨랐어요', '감사합니다']"
1289,1290,에어팟3세대,별점,"배송 짱 빠름
2세대사용하다 바꾸니 착용감이 불안하지만
적응해봐야죠",5,"['배송', '짱', '빠름', '\r\n', '2', '세', '대사', '용하다', '바꾸니', '착용', '감', '이', '불안하지만', '\r\n', '적응', '해봐야죠']"
1288,1289,에어팟3세대,별점,"배송 빠르고
딸아이 졸업선물로 사줬는데
좋아합니다
음질도 짱 이네요",5,"['배송', '빠르고', '\r\n', '딸아이', '졸업', '선물', '로', '사줬는데', '\r\n', '좋아합니다', '\r\n', '음질', '도', '짱', '이네요']"
1287,1288,에어팟3세대,별점,"전 모델보다 오래 착용하면 귀는 아픈데 ㅠㅠ
음질은 확실히 좋습니다.",5,"['전', '모델', '보다', '오래', '착용', '하면', '귀', '는', '아픈데', '음질', '은', '확실히', '좋습니다']"
